adrenal_carcinoma	Adrenal_Gland.tsv	Adrenocortical_carcinoma.tsv
bladder_urothelial_carcinoma	Bladder.tsv	Bladder_Urothelial_Carcinoma.tsv
breast_invasive_carcinoma	Breast_Mammary_Tissue.tsv	Breast_invasive_carcinoma.tsv
cervix_carcinoma	Cervix_endo_and_ecto.tsv	Cervical_squamous_cell_carcinoma_and_endocervical_adenocarcinoma.tsv
colon_adenocarcinoma	Colon_Sigmoid.tsv	Colon_adenocarcinoma.tsv
esophagus_carcinoma	Esophagus_Mucosa.tsv	Esophageal_carcinoma.tsv
kidney_clear_cell_carcinoma	Kidney_Cortex.tsv	Kidney_renal_clear_cell_carcinoma.tsv
kidney_papillary_carcinoma	Kidney_Chromophobe.tsv	Kidney_renal_papillary_cell_carcinoma.tsv
liver_hepatocellular_carcinoma	Liver.tsv	Liver_hepatocellular_carcinoma.tsv
lung_adenocarcinoma	Lung.tsv	Lung_adenocarcinoma.tsv
lung_mesothelioma	Lung.tsv	Mesothelioma.tsv
lung_squamous	Lung.tsv	Lung_squamous_cell_carcinoma.tsv
ovary_serous_cystadenocarcinoma	Ovary.tsv	Ovarian_serous_cystadenocarcinoma.tsv
pancreas_adenocarcinoma	Pancreas.tsv	Pancreatic_adenocarcinoma.tsv
prostate_adenocarcinoma	Prostate.tsv	Prostate_adenocarcinoma.tsv
skin_cutaneous_melanoma	Skin_Sun_Exposed_(Lower_leg).tsv	Skin_Cutaneous_Melanoma.tsv
stomach_adenocarcinoma	Stomach.tsv	Stomach_adenocarcinoma.tsv
testis_germ_cell_tumors	Testis.tsv	Testicular_Germ_Cell_Tumors.tsv
thyroid_carcinoma	Thyroid.tsv	Thyroid_carcinoma.tsv
uterus_carcinosarcoma	Uterus.tsv	Uterine_Carcinosarcoma.tsv
uterus_endometriod_carcinoma	Uterus.tsv	Uterine_Corpus_Endometrioid_Carcinoma.tsv