adrenal	Adrenal_Gland.tsv	Adrenocortical_carcinoma.tsv
bladder	Bladder.tsv	Bladder_Urothelial_Carcinoma.tsv
breast	Breast_Mammary_Tissue.tsv	Breast_invasive_carcinoma.tsv
cervix	Cervix_Endocervix.tsv,Cervix_Ectocervix.tsv	Cervical_squamous_cell_carcinoma_and_endocervical_adenocarcinoma.tsv
colon	Colon_Sigmoid.tsv	Colon_adenocarcinoma.tsv
esophagus	Esophagus_Muscularis.tsv,Esophagus_Gastroesophageal_Junction.tsv	Esophageal_carcinoma.tsv
kidney	Kidney_Cortex.tsv	Kidney_renal_clear_cell_carcinoma.tsv
liver	Liver.tsv	Liver_hepatocellular_carcinoma.tsv
lung_adenocarcinoma	Lung.tsv	Lung_adenocarcinoma.tsv
lung_mesothelioma	Lung.tsv	Mesothelioma.tsv
lung_squamous	Lung.tsv	Lung_squamous_cell_carcinoma.tsv
ovary	Ovary.tsv	Ovarian_serous_cystadenocarcinoma.tsv
pancreas	Pancreas.tsv	Pancreatic_adenocarcinoma.tsv
prostate	Prostate.tsv	Prostate_adenocarcinoma.tsv
skin	Skin_Sun_Exposed_(Lower_leg).tsv,Skin_Not_Sun_Exposed_(Suprapubic).tsv	Skin_Cutaneous_Melanoma.tsv
head_and_neck	Skin_Sun_Exposed_(Lower_leg).tsv,Skin_Not_Sun_Exposed_(Suprapubic).tsv	Head_and_Neck_squamous_cell_carcinoma.tsv
stomach	Stomach.tsv	Stomach_adenocarcinoma.tsv
testis	Testis.tsv	Testicular_Germ_Cell_Tumors.tsv
thyroid	Thyroid.tsv	Thyroid_carcinoma.tsv
uterus_carcinosarcoma	Uterus.tsv	Uterine_Carcinosarcoma.tsv
uterus_endometrioid_carcinoma	Uterus.tsv	Uterine_Corpus_Endometrioid_Carcinoma.tsv